Date,Seller (Entity),Company,Value (USD),Security Type,Filing URL
2026-03-23,Prame Thomas M,HORIZON BANCORP INC /IN/,107744.0,Common Stock,https://www.sec.gov/Archives/edgar/data/1550175/000197248126000115/0001972481-26-000115-index.htm
2026-03-23,WILLIAM S. SIMON,"DARDEN RESTAURANTS, INC.",468081.69,Common,https://www.sec.gov/Archives/edgar/data/1349347/000195004726002925/0001950047-26-002925-index.htm
2026-03-23,Paul Campbell,Viatris Inc,283508.28,Common Stock,https://www.sec.gov/Archives/edgar/data/1792044/000162828026020563/0001628280-26-020563-index.htm
2026-03-23,Barry Corie S,BEST BUY CO INC,2744443.37,Common,https://www.sec.gov/Archives/edgar/data/1676999/000195917326002575/0001959173-26-002575-index.htm
2026-03-23,KINSEY WOLF,HYATT HOTELS CORPORATION,59057.28,Common,https://www.sec.gov/Archives/edgar/data/2033705/000195004726002924/0001950047-26-002924-index.htm
2026-03-23,Weber David A.,Northwest Natural Holding Co,79329.64,Common,https://www.sec.gov/Archives/edgar/data/1733998/000195917326002574/0001959173-26-002574-index.htm
2026-03-23,Terrance Coyne,Royalty Pharma plc,1586817.51,Common Stock,https://www.sec.gov/Archives/edgar/data/1814876/000195824426000170/0001958244-26-000170-index.htm
2026-03-23,Shah Niraj,Wayfair Inc.,8323118.54,Class A,https://www.sec.gov/Archives/edgar/data/1620093/000195917326002573/0001959173-26-002573-index.htm
2026-03-23,Scarlett Kathleen,BEST BUY CO INC,515291.34,Common,https://www.sec.gov/Archives/edgar/data/1707469/000195917326002572/0001959173-26-002572-index.htm
2026-03-23,LUIS MULLER,CELESTICA INC,10818563.0,Common Stock,https://www.sec.gov/Archives/edgar/data/1509513/000162828026020559/0001628280-26-020559-index.htm
2026-03-23,DIANA SROKA,"SOUNDHOUND AI, INC.",8796.65,Common,https://www.sec.gov/Archives/edgar/data/1920484/000195004726002923/0001950047-26-002923-index.htm
2026-03-23,KAREN FOSTER,"BioLife Solutions, Inc.",48576.45,Common,https://www.sec.gov/Archives/edgar/data/1683151/000195004726002922/0001950047-26-002922-index.htm
2026-03-23,SONALEE PAREKH,ASANA INC,124468.05,Common,https://www.sec.gov/Archives/edgar/data/1849122/000195004726002921/0001950047-26-002921-index.htm
2026-03-23,JACOB SUEN,"AIRGAIN, INC.",4770.0,Common,https://www.sec.gov/Archives/edgar/data/1705078/000195004726002920/0001950047-26-002920-index.htm
2026-03-23,PATRIZIO VINCIARELLI,VICOR CORPORATION,974734.96,Common,https://www.sec.gov/Archives/edgar/data/901484/000195004726002919/0001950047-26-002919-index.htm
2026-03-23,DAVID SCHWARZBACH,YELP INC.,187500.0,Common,https://www.sec.gov/Archives/edgar/data/1349334/000195004726002918/0001950047-26-002918-index.htm
2026-03-23,AGARWAL 2018 FAMILY TRUST,"Datadog, Inc.",2501600.0,Class A Common,https://www.sec.gov/Archives/edgar/data/1561550/000195004726002917/0001950047-26-002917-index.htm
2026-03-23,JEK TRUST U/A DTD 02/08/2021,ALIGNMENT HEALTHCARE INC,2046120.0,Common,https://www.sec.gov/Archives/edgar/data/1832466/000195004726002916/0001950047-26-002916-index.htm
2026-03-23,Brenton John,Nano Dimension Ltd.,33471.81,Ordinary,https://www.sec.gov/Archives/edgar/data/2103000/000197640826000282/0001976408-26-000282-index.htm
2026-03-23,Stehlin David,Nano Dimension Ltd.,37907.33,Ordinary Shares,https://www.sec.gov/Archives/edgar/data/1643303/000197640826000281/0001976408-26-000281-index.htm
2026-03-13,Gurusamy Mathi,LANTRONIX INC,86452.4,Common,https://www.sec.gov/Archives/edgar/data/2021595/000197407826000130/0001974078-26-000130-index.htm
